IP地址,端口,TLS,数据中心,国家,城市,网络延迟(毫秒),下载速度(MB/s)
168.138.192.16,54584,AS,JP,JP,Inzai,33,1.05
103.75.118.144,2053,AS,JP,JP,Tokyo,37,1.03
8.216.121.234,51922,AS,JP,JP,Tokyo,36,1.03
147.45.49.11,8443,AS,JP,JP,Tokyo,88,1.03
206.190.239.77,443,AS,JP,JP,Osaka,1180,1.02
113.37.149.36,12553,AS,JP,JP,Kyoto,39,1.02
141.147.183.49,29876,AS,JP,JP,Inzai,71,1.02
152.70.82.101,18650,AS,JP,JP,Osaka,72,1.02
168.138.46.67,443,AS,JP,JP,Osaka,103,1.01
154.31.113.72,443,AS,JP,JP,Tokyo,106,1.01
43.133.10.236,33405,AS,JP,JP,Tokyo,121,1.01
138.2.18.82,8880,AS,JP,JP,Inzai,223,1.01
138.3.222.124,46209,AS,JP,JP,Inzai,93,1.01
82.163.16.69,8080,AS,JP,JP,Tokyo,73,1.01
140.83.57.86,54322,AS,JP,JP,Osaka,154,1.01
217.142.250.195,587,AS,JP,JP,Osaka,82,1.01
141.147.185.15,443,AS,JP,JP,Inzai,72,1.01
132.145.126.40,32498,AS,JP,JP,Inzai,125,1.01
64.110.104.30,443,AS,JP,JP,Osaka,75,1.01
45.77.25.6,48828,AS,JP,JP,Heiwajima,72,1.01
131.186.63.89,11655,AS,JP,JP,Inzai,42,1.01
140.83.59.158,15805,AS,JP,JP,Osaka,73,1
138.2.49.197,587,AS,JP,JP,Osaka,68,1
219.117.2.190,57517,AS,JP,JP,Shimorenjaku,113,0.99
45.66.218.194,12959,AS,JP,JP,Tokyo,73,0.99
45.76.198.248,443,AS,JP,JP,N/A,102,0.99
103.106.228.126,2053,AS,JP,JP,Tokyo,48,0.99
138.2.59.96,10129,AS,JP,JP,Osaka,68,0.97
176.97.70.51,2053,AS,JP,JP,Tokyo,50,0.97
168.138.201.35,36637,AS,JP,JP,Inzai,133,0.97
147.45.49.193,2053,AS,JP,JP,Tokyo,121,0.96
64.176.42.125,10001,AS,JP,JP,Osaka,62,0.96
47.245.59.226,59215,AS,JP,JP,Tokyo,105,0.96
158.101.154.245,47001,AS,JP,JP,Inzai,146,0.95
158.101.146.3,44872,AS,JP,JP,Inzai,138,0.94
64.176.40.224,3533,AS,JP,JP,Osaka,58,0.94
45.66.218.194,12965,AS,JP,JP,Tokyo,153,0.94
103.238.129.215,42734,AS,JP,JP,Tokyo,170,0.93
3.112.21.102,443,AS,JP,JP,Tokyo,139,0.92
168.138.198.7,27560,AS,JP,JP,Inzai,68,0.91
141.147.152.229,23333,AS,JP,JP,Osaka,73,0.91
168.138.213.1,50003,AS,JP,JP,Inzai,69,0.9
140.83.57.20,13118,AS,JP,JP,Osaka,198,0.89
18.183.158.211,443,AS,JP,JP,Tokyo,135,0.89
140.235.37.81,443,AS,JP,JP,Tokyo,178,0.86
91.194.160.79,2053,AS,JP,JP,Tokyo,227,0.86
219.117.2.190,48401,AS,JP,JP,Shimorenjaku,35,0.86
138.2.32.76,15821,AS,JP,JP,Osaka,178,0.85
168.138.197.147,12345,AS,JP,JP,Inzai,179,0.84
132.226.8.109,43257,AS,JP,JP,Inzai,201,0.83
217.142.243.98,51321,AS,JP,JP,Osaka,176,0.83
147.45.49.164,24443,AS,JP,JP,Tokyo,68,0.82
140.83.37.134,46478,AS,JP,JP,Inzai,224,0.82
140.238.37.103,14782,AS,JP,JP,Inzai,283,0.79
45.76.192.129,24434,AS,JP,JP,N/A,31,0.78
91.194.160.45,8443,AS,JP,JP,Tokyo,277,0.78
141.98.197.101,11665,AS,JP,JP,Tokyo,230,0.77
121.85.55.59,19842,AS,JP,JP,Takarazuka,34,0.76
47.79.90.37,49153,AS,JP,JP,Tokyo,126,0.74
217.142.243.226,443,AS,JP,JP,Osaka,282,0.72
158.101.77.33,443,AS,JP,JP,Inzai,277,0.72
138.2.10.149,45638,AS,JP,JP,Inzai,260,0.7
141.147.144.15,13357,AS,JP,JP,Osaka,321,0.69
38.180.28.163,2053,AS,JP,JP,Tokyo,168,0.66
84.247.152.46,10045,AS,JP,JP,Tokyo,66,0.65
109.123.231.212,2053,AS,JP,JP,Tokyo,294,0.64
